name,operatingTime,popularity,releases,cbo,dit,lcom_as,loc
java-design-patterns,8,76836,0,3,6,0,58582
advanced-java,4,65445,1,2,6,0,58582
elasticsearch,12,61176,96,4,176,0,3414311
Java,6,47796,0,2,176,0,3461598
guava,8,45727,35,2,176,0,3920813
lottie-android,6,33205,43,2,176,0,3949806
AndroidUtilCode,6,31371,116,2,176,0,4022532
zxing,11,30111,28,2,176,0,4097331
dbeaver,7,28369,159,2,176,0,4840264
JCSprout,5,26819,0,2,176,0,4848033
netty,12,29932,0,2,176,0,5412923
spring-boot-examples,6,28012,0,2,176,0,5418505
druid,11,26033,45,2,176,0,6023290
butterknife,9,25679,0,2,176,0,6036787
miaosha,4,25302,0,2,176,0,6052176
fastjson,11,24968,84,2,176,0,6395727
fastjson,11,24968,84,2,176,0,6395727
vhr,4,24858,0,2,176,0,6401233
selenium,9,24612,76,2,176,0,6563767
EventBus,10,24106,7,2,176,0,6572824
nacos,4,23950,47,2,176,0,6774354
SpringAll,4,24273,0,2,176,0,6785376
toBeTopJavaer,4,23859,0,2,176,0,6785376
kafka,11,23091,0,2,176,0,7526023
Hystrix,10,22930,79,2,176,0,7634347
xxl-job,7,22535,31,2,176,0,7650682
NewPipe,7,20956,121,2,176,0,7720533
libgdx,10,20486,9,2,176,0,8227150
skywalking,7,20239,53,1,176,0,8343968
redisson,8,19819,112,1,176,0,8585099
ExoPlayer,8,19819,20,2,176,0,8977254
litemall,4,17376,8,2,176,0,9120161
shardingsphere,6,17335,49,2,176,0,9435460
cat,10,17172,3,2,176,0,9608693
Android-Universal-Image-Loader,11,16798,0,2,176,0,9621639
zheng,6,16348,0,2,176,0,9687816
Mindustry,5,15996,140,2,176,0,9687816
Android-CleanArchitecture,8,15205,0,2,176,0,9691737
disruptor,10,15178,13,2,176,0,9714183
Apktool,10,14842,15,2,176,0,9736050
SpringBoot-Learning,6,14718,0,2,176,0,9740764
SpringAll,4,24273,0,2,176,0,9751786
EventBus,10,24106,7,2,176,0,9760843
canal,9,24086,25,2,176,0,9937288
nacos,4,23950,47,2,176,0,10138818
hutool,8,23913,121,2,176,0,10353187
toBeTopJavaer,4,23859,0,2,176,0,10353187
SmartRefreshLayout,5,23812,10,2,176,0,10388531
spring-cloud-alibaba,5,23639,30,2,176,0,10414114
halo,4,23580,87,2,176,0,10455084
BaseRecyclerViewAdapterHelper,6,23119,193,2,176,0,10461986
kafka,11,23091,0,2,176,0,11202633
Hystrix,10,22930,79,2,176,0,11310957
seata,4,22821,33,2,911,0,11625110
Signal-Android,11,22793,0,2,911,0,12038286
xxl-job,7,22535,31,2,911,0,12054621
gson,7,21379,4,2,911,0,12109087
NewPipe,7,20956,121,2,911,0,12178938
Telegram,9,20731,75,2,1456,0,13752653
libgdx,10,20486,9,2,1456,0,14259270
skywalking,7,20239,53,2,1456,0,14376088
skywalking,7,20239,53,2,1456,0,14376088
