name,createdAt,stargazerCount,url,releases.totalCount
Android-BluetoothKit,2015-10-08T09:07:33Z,3146,https://github.com/dingjikerbo/Android-BluetoothKit,0
StickerCamera,2015-07-05T14:12:43Z,3145,https://github.com/Skykai521/StickerCamera,0
MifareClassicTool,2013-02-12T15:39:03Z,3140,https://github.com/ikarus23/MifareClassicTool,2
AndEngine,2011-11-22T14:20:11Z,3140,https://github.com/nicolasgramlich/AndEngine,0
spring-cloud-kubernetes,2016-12-13T21:36:25Z,3138,https://github.com/spring-cloud/spring-cloud-kubernetes,0
animate,2015-11-16T15:06:22Z,3136,https://github.com/hitherejoe/animate,0
java-tron,2017-12-26T10:20:38Z,3135,https://github.com/tronprotocol/java-tron,68
native-navigation,2016-09-16T17:16:56Z,3133,https://github.com/airbnb/native-navigation,0
awaitility,2010-01-22T15:12:52Z,3127,https://github.com/awaitility/awaitility,0
jvm-tools,2012-04-28T09:28:32Z,3124,https://github.com/aragozin/jvm-tools,0
dexcount-gradle-plugin,2015-06-04T03:33:17Z,2980,https://github.com/KeepSafe/dexcount-gradle-plugin,20
SlidingRootNav,2017-03-26T22:58:48Z,2979,https://github.com/yarolegovich/SlidingRootNav,1
robospice,2012-09-19T14:09:37Z,2979,https://github.com/stephanenicolas/robospice,1
sofa-jraft,2019-03-04T10:13:43Z,2974,https://github.com/sofastack/sofa-jraft,24
allure2,2016-05-27T14:06:05Z,2972,https://github.com/allure-framework/allure2,53
brigadier,2014-09-15T08:48:24Z,2968,https://github.com/Mojang/brigadier,3
Nuwa,2015-11-11T14:48:23Z,2967,https://github.com/jasonross/Nuwa,0
initializr,2013-06-07T16:02:22Z,2958,https://github.com/spring-io/initializr,12
DeepLearning,2013-01-01T16:23:53Z,2955,https://github.com/yusugomori/DeepLearning,0
light-task-scheduler,2014-10-24T12:53:14Z,2954,https://github.com/ltsopensource/light-task-scheduler,29
requery,2015-11-14T00:45:31Z,3106,https://github.com/requery/requery,43
ripme,2017-01-06T17:12:09Z,3101,https://github.com/RipMeApp/ripme,126
Java8InAction,2013-10-28T23:59:40Z,3078,https://github.com/java8/Java8InAction,0
RecyclerViewItemAnimators,2014-08-22T00:24:43Z,3062,https://github.com/gabrielemariotti/RecyclerViewItemAnimators,0
CityPicker,2016-02-27T09:11:27Z,3055,https://github.com/zaaach/CityPicker,2
RxEasyHttp,2017-06-07T09:33:47Z,3053,https://github.com/zhou-you/RxEasyHttp,0
JCTools,2013-11-10T18:04:40Z,3051,https://github.com/JCTools/JCTools,16
android,2016-06-06T21:23:36Z,3051,https://github.com/nextcloud/android,193
sofa-jarslink,2018-02-02T06:02:09Z,3048,https://github.com/sofastack/sofa-jarslink,2
QR-Code-generator,2016-04-15T02:19:41Z,3047,https://github.com/nayuki/QR-Code-generator,3
PRDownloader,2017-11-11T19:29:38Z,3045,https://github.com/MindorksOpenSource/PRDownloader,5
yanxuan-weex-demo,2017-09-05T11:48:42Z,3044,https://github.com/zwwill/yanxuan-weex-demo,0
flink-cdc-connectors,2020-07-27T19:23:33Z,3043,https://github.com/ververica/flink-cdc-connectors,10
ShapeOfView,2018-02-18T12:14:06Z,3039,https://github.com/florent37/ShapeOfView,0
Crouton,2012-08-03T11:04:36Z,3038,https://github.com/keyboardsurfer/Crouton,8
leetcode,2017-03-09T10:30:30Z,3036,https://github.com/gouthampradhan/leetcode,0
ViewpagerTransition,2016-09-19T05:38:45Z,3035,https://github.com/xmuSistone/ViewpagerTransition,1
migration,2020-01-08T02:11:38Z,3033,https://github.com/phodal/migration,0
MarsDaemon,2015-12-25T03:21:41Z,3033,https://github.com/Marswin/MarsDaemon,0
android-viewbadger,2011-09-27T22:50:57Z,3029,https://github.com/jgilfelt/android-viewbadger,0
lombok-intellij-plugin,2013-10-09T21:49:01Z,3027,https://github.com/mplushnikov/lombok-intellij-plugin,116
TableView,2017-06-13T04:29:44Z,3014,https://github.com/evrencoskun/TableView,12
android-process-button,2014-05-02T20:39:23Z,3013,https://github.com/dmytrodanylyk/android-process-button,1
DraggablePanel,2014-04-13T11:40:54Z,3002,https://github.com/pedrovgs/DraggablePanel,10
tablesaw,2016-01-01T14:58:28Z,2999,https://github.com/jtablesaw/tablesaw,79
Carbon,2015-02-04T23:11:18Z,2998,https://github.com/ZieIony/Carbon,2
LikeButton,2015-12-23T17:49:46Z,2997,https://github.com/jd-alexander/LikeButton,14
react-native-fbsdk,2015-08-03T17:10:14Z,2996,https://github.com/facebookarchive/react-native-fbsdk,22
yuicompressor,2008-12-05T19:13:24Z,2986,https://github.com/yui/yuicompressor,1
MultiImageSelector,2015-04-08T10:12:50Z,2985,https://github.com/lovetuzitong/MultiImageSelector,2
booksource,2016-10-04T02:55:57Z,2985,https://github.com/guolindev/booksource,0
android-mvp-mvvm-flytour,2018-12-25T10:42:31Z,2984,https://github.com/mxdldev/android-mvp-mvvm-flytour,11
bitcoin-wallet,2012-03-31T17:06:47Z,2980,https://github.com/bitcoin-wallet/bitcoin-wallet,18
dexcount-gradle-plugin,2015-06-04T03:33:17Z,2980,https://github.com/KeepSafe/dexcount-gradle-plugin,20
SlidingRootNav,2017-03-26T22:58:48Z,2979,https://github.com/yarolegovich/SlidingRootNav,1
robospice,2012-09-19T14:09:37Z,2979,https://github.com/stephanenicolas/robospice,1
sofa-jraft,2019-03-04T10:13:43Z,2974,https://github.com/sofastack/sofa-jraft,24
allure2,2016-05-27T14:06:05Z,2972,https://github.com/allure-framework/allure2,53
brigadier,2014-09-15T08:48:24Z,2968,https://github.com/Mojang/brigadier,3
Nuwa,2015-11-11T14:48:23Z,2967,https://github.com/jasonross/Nuwa,0
initializr,2013-06-07T16:02:22Z,2958,https://github.com/spring-io/initializr,12
DeepLearning,2013-01-01T16:23:53Z,2955,https://github.com/yusugomori/DeepLearning,0
light-task-scheduler,2014-10-24T12:53:14Z,2954,https://github.com/ltsopensource/light-task-scheduler,29
AndroidChromium,2016-07-04T07:28:36Z,2954,https://github.com/JackyAndroid/AndroidChromium,2
IoT-Technical-Guide,2019-04-02T01:52:44Z,2948,https://github.com/IoT-Technology/IoT-Technical-Guide,0
openj9,2017-08-25T13:46:07Z,2947,https://github.com/eclipse-openj9/openj9,33
jwt-spring-security-demo,2016-03-20T19:16:17Z,2936,https://github.com/szerhusenBC/jwt-spring-security-demo,3
cropper,2013-07-24T21:59:06Z,2930,https://github.com/edmodo/cropper,0
